10;10;+36-1-452-4322
10;20;+36-30-432-7543
20;20;+36-70-765-7453
30;20;+36-20-163-8564
30;30;+36-2-763-8653
30;10;+36-1-136-1334
40;20;+36-70-765-5322
50;10;+36-1-234-3632
60;20;+36-20-622-1354
60;30;+36-2-753-7854
70;10;+36-1-124-7421
70;30;+36-2-642-8321
80;10;+36-1-773-5112
80;20;+36-30-124-6211
90;30;+36-2-621-9521
90;20;+36-70-013-5621
90;10;+36-1-643-1423
100;10;+36-1-752-2425
110;20;+36-20-136-2435
130;30;+36-2-643-6342
130;20;+36-30-122-5411
140;30;+36-2-777-3532
140;30;+36-2-123-7432
140;20;+36-70-312-7352
150;10;+36-1-452-1512
160;20;+36-30-365-2532
170;20;+36-30-634-5423
170;10;+36-1-123-7321
180;20;+36-20-642-2322
180;30;+36-2-772-6621
190;10;+36-1-732-4341
